time(s),energy(eV),exchange_energy(eV),dm_energy(eV),field_energy(eV),anisotropy_energy(eV),cubic_anisotropy_energy(eV),charge_finite,charge_lattice,avg_mx,avg_my,avg_mz,eletric_x,eletric_y,eletric_z,magnetic_lattice_x,magnetic_lattice_y,magnetic_lattice_z,magnetic_derivative_x,magnetic_derivative_y,magnetic_derivative_z
1.549999999999921e-11,-1.060771361148870e-18,-2.399089538750224e-18,3.737862040326201e-19,-4.811969379007289e-20,0.000000000000000e+00,0.000000000000000e+00,-1.898224048116525e+01,-2.200000000000004e+01,2.098159555077084e-02,-1.909260143153212e-02,4.073615254055649e-01,-2.950756637076927e-17,-5.037454713735261e-17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,-1.448066304404737e-14,0.000000000000000e+00,0.000000000000000e+00,-1.249433764676497e-14
1.599999999999930e-11,-1.062720758847693e-18,-2.401230534467130e-18,3.724855461199324e-19,-4.834826467409363e-20,0.000000000000000e+00,0.000000000000000e+00,-1.903000985668080e+01,-2.200000000000000e+01,2.034717601449946e-02,-1.827596373054721e-02,4.092965124481695e-01,-2.901152374254194e-17,-4.975867411896402e-17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,-1.448066304404741e-14,0.000000000000000e+00,0.000000000000000e+00,-1.252578002088615e-14
1.649999999999938e-11,-1.064453090616302e-18,-2.403122894175479e-18,3.713477089899614e-19,-4.856549802354387e-20,0.000000000000000e+00,0.000000000000000e+00,-1.907822612919662e+01,-2.199999999999998e+01,1.961241209516078e-02,-1.767055352495032e-02,4.111355205887262e-01,-2.916525905716273e-17,-4.910634399104793e-17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,-1.448066304404735e-14,0.000000000000000e+00,0.000000000000000e+00,-1.255751654795617e-14
1.699999999999947e-11,-1.066040411383211e-18,-2.404836426788337e-18,3.703042424000824e-19,-4.877431918907876e-20,0.000000000000000e+00,0.000000000000000e+00,-1.912294236423470e+01,-2.200000000000002e+01,1.878406817611195e-02,-1.722931165619228e-02,4.129033146420372e-01,-2.959504383444900e-17,-4.852823378291242e-17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,-1.448066304404734e-14,0.000000000000000e+00,0.000000000000000e+00,-1.258694930851003e-14
1.749999999999956e-11,-1.067534161675599e-18,-2.406427708235180e-18,3.693091240712830e-19,-4.897486959364727e-20,0.000000000000000e+00,0.000000000000000e+00,-1.916204083310009e+01,-2.200000000000001e+01,1.788256049505638e-02,-1.692464663784276e-02,4.146010918365907e-01,-3.000838122739662e-17,-4.804385547319690e-17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,-1.448066304404734e-14,0.000000000000000e+00,0.000000000000000e+00,-1.261268438819995e-14
1.799999999999965e-11,-1.068948525858086e-18,-2.407921765117988e-18,3.683536339144403e-19,-4.916446025630948e-20,0.000000000000000e+00,0.000000000000000e+00,-1.919532796265152e+01,-2.199999999999998e+01,1.693277513347282e-02,-1.675183978105186e-02,4.162060883663211e-01,-3.026277869200120e-17,-4.763467234586674e-17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,-1.448066304404737e-14,0.000000000000000e+00,0.000000000000000e+00,-1.263459437486985e-14
1.849999999999974e-11,-1.070281979053429e-18,-2.409328324294798e-18,3.674438607611856e-19,-4.933974728662016e-20,0.000000000000000e+00,0.000000000000000e+00,-1.922355913124224e+01,-2.200000000000006e+01,1.596227042461811e-02,-1.671731955316145e-02,4.176899962307957e-01,-3.031355043934763e-17,-4.730469149815893e-17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,-1.448066304404741e-14,0.000000000000000e+00,0.000000000000000e+00,-1.265317646758354e-14
1.899999999999983e-11,-1.071540294701496e-18,-2.410661122867877e-18,3.665778571040669e-19,-4.949866181959167e-20,0.000000000000000e+00,0.000000000000000e+00,-1.924758272214847e+01,-2.199999999999998e+01,1.500212307522250e-02,-1.682527999812458e-02,4.190353012704067e-01,-3.016110164593928e-17,-4.707994205161994e-17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,-1.448066304404742e-14,0.000000000000000e+00,0.000000000000000e+00,-1.266898908235732e-14
1.949999999999992e-11,-1.072742881773669e-18,-2.411943371061903e-18,3.657396900547140e-19,-4.964104127007537e-20,0.000000000000000e+00,0.000000000000000e+00,-1.926845390193540e+01,-2.200000000000000e+01,1.408566570226521e-02,-1.706952973736880e-02,4.202406271061971e-01,-2.984559097931736e-17,-4.698742559848901e-17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,-1.448066304404740e-14,0.000000000000000e+00,0.000000000000000e+00,-1.268272674244031e-14
2.000000000000001e-11,-1.073917837291717e-18,-2.413203159971463e-18,3.649043848375640e-19,-4.976844972476745e-20,0.000000000000000e+00,0.000000000000000e+00,-1.928768915952785e+01,-2.199999999999994e+01,1.324508312752034e-02,-1.743123154152129e-02,4.213192146524807e-01,-2.944572504331394e-17,-4.703445415487868e-17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,-1.448066304404739e-14,0.000000000000000e+00,0.000000000000000e+00,-1.269538761897489e-14
